HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g24r31-2894-ch2-w06","eth0","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:04","ec:e7:a7:0e:21:04","WIH29090004","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.0","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g24r31-2894-ch2-w06","eth1","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:05","ec:e7:a7:0e:21:05","WIH29090004","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.1","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g24r31-2894-ch2-w06","eth10","PF","N/A","N/A","N/A","b8:e9:24:f3:3f:b6","b8:e9:24:f3:3f:b6","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:cd:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth11","PF","N/A","N/A","N/A","b8:e9:24:f3:7b:2e","b8:e9:24:f3:7b:2e","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth2","PF","N/A","N/A","N/A","b8:e9:24:f3:20:2c","b8:e9:24:f3:20:2c","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:69:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth3","PF","N/A","N/A","N/A","b8:e9:24:f3:3f:8a","b8:e9:24:f3:3f:8a","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:09:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth4","PF","N/A","N/A","N/A","b8:e9:24:f3:37:a2","b8:e9:24:f3:37:a2","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:53:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth5","PF","N/A","N/A","bond0","d2:1c:17:e0:23:07","c4:70:bd:b8:e7:8e","WIH29090004","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth6","PF","N/A","N/A","bond0","d2:1c:17:e0:23:07","c4:70:bd:b8:e7:8f","WIH29090004","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth7","PF","N/A","N/A","N/A","b8:e9:24:f3:79:76","b8:e9:24:f3:79:76","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:23:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth8","PF","N/A","N/A","N/A","b8:e9:24:f3:1e:a0","b8:e9:24:f3:1e:a0","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:f1:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r31-2894-ch2-w06","eth9","PF","N/A","N/A","N/A","b8:e9:24:f3:1f:7c","b8:e9:24:f3:1f:7c","WIH29090004","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:8f:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
